西暦,和暦
1960,昭和35年
1961,昭和36年
1962,昭和37年
1963,昭和38年
1964,昭和39年
1965,昭和40年
1966,昭和41年
1967,昭和42年
1968,昭和43年
1969,昭和44年
1970,昭和45年
1971,昭和46年
1972,昭和47年
1973,昭和48年
1974,昭和49年
1975,昭和50年
1976,昭和51年
1977,昭和52年
1978,昭和53年
1979,昭和54年
1980,昭和55年
1981,昭和56年
1982,昭和57年
1983,昭和58年
1984,昭和59年
1985,昭和60年
1986,昭和61年
1987,昭和62年
1988,昭和63年
1989,昭和64年/平成1年
1990,平成2年
1991,平成3年
1992,平成4年
1993,平成5年
1994,平成6年
1995,平成7年
1996,平成8年
1997,平成9年
1998,平成10年
1999,平成11年
2000,平成12年
2001,平成13年
2002,平成14年
2003,平成15年
2004,平成16年
2005,平成17年
2006,平成18年
2007,平成19年
2008,平成20年
2009,平成21年
2010,平成22年
2011,平成23年
2012,平成24年
2013,平成25年
2014,平成26年
2015,平成27年
2016,平成28年
2017,平成29年
2018,平成30年
2019,平成31年/令和1年
2020,令和2年
2021,令和3年
2022,令和4年
2023,令和5年
2024,令和6年
2025,令和7年
2026,令和8年
2027,令和9年
2028,令和10年
2029,令和11年
2030,令和12年
